具体位置,房价
[二环以内]西城西单时代广场中组部南200米路东,"
187000元/m^2
"
[二环以内]西城宣内大街西绒线胡同28号(美爵酒店东侧),"
150000元/m^2
"
[二至三环]西城德胜门北800米,"
500万元/套起
"
"[二至三环]西城广安门外大街305号,莲花池东路,会城门桥以南200米","
108000元/m^2
"
