具体位置,房价
[五至六环]石景山阜石路与北辛安路交叉口南,"
63500元/m^2
"
[五至六环]石景山古城南街,"
58802元/m^2
"
[五至六环]石景山西黄村地铁站北300米,"
62766元/m^2
"
[五至六环]石景山古城南街,"
40100元/m^2
"
[五至六环]石景山隆恩寺路-秀府路口东北,"
52024元/m^2
"
[五至六环]石景山西长安街与古城大街交汇处西南角,"
43000元/m^2起
"
[五至六环]石景山石门路东侧500米,"
425万元/套
"
[五至六环]石景山五里坨黑石头路前行1000米,"
52024元/m^2
"
[四至五环]石景山银河大街,"
47500元/m^2
"
[五至六环]石景山八大处公园西南800米,"
95000元/m^2
"
"[四至五环]石景山鲁谷路,西侧紧邻西五环,紧邻地铁一号线八角游乐园站","
240万元/套起
"
[五至六环]石景山石景山路地铁1号线古城站西500米,"
				新房已售完
				请查看二手房源
"
