单词,词频
身躯,1
摔倒,1
冲到,1
盯,1
劳看,1
片刻,1
路快,1
我下,1
年轻人,1
他病,1
很重,1
抬,1
活着,1
蹲,1
脚边,1
女孩子,1
慢吞吞,1
扑,1
急忙,1
点钱,1
这么回事,1
走开,1
山下,1
紧跟着,1
抬着,1
乏,1
数英里,1
之外,1
病倒,1
审问,1
一带,1
村落,1
一见,1
一行,1
步行,1
前往,1
同行,1
很难,1
花园,1
古树,1
房门,1
高,1
白发苍苍,1
黑色,1
昂贵,1
面生,1
旺旺,1
时真,1
小家伙,1
旁边,1
紧靠着,1
美妙,1
暖烘烘,1
两三个,1
窗口,1
艾丽森站,1
脏兮兮,1
低沉,1
谨慎,1
怎么回事,1
劳先生,1
有话,1
身边,1
男子汉,1
感到恐惧,1
这时候,1
别问,1
急促,1
一天到晚,1
翻越,1
山走,1
讨饭,1
冷冷地,1
抬起,1
头张,1
遍地,1
送,1
进,1
地喊,1
脸涨,1
脸上,1
表情,1
热情,1
随从人员,1
离马尔,1
不远,1
费,1
劲,1
身材矮小,1
长,1
胖胖的,1
全掉,1
八十岁,1
难,1
使性子,1
衣帽,1
华贵,1
笑声,1
令,1
真地,1
年前,1
蒂勃,1
男孩,1
猫来,1
拜访,1
交谈起来,1
小心,1
我用,1
泥,1
制成,1
命,1
警卫,1
带走,1
外孙女,1
胳膊,1
一匹,1
马队,1
高喊,1
寻找,1
马,1
村子,1
有个,1
慈爱,1
好些,1
嘴里,1
念叨,1
大嚷,1
大叫,1
恼火,1
天后,1
答话,1
跟前,1
慢慢腾腾,1
地站,1
好几个,1
第二天,1
早上,1
村去,1
家有,1
穷人,1
星期五,1
情况,1
留下来,1
干活,1
一大堆,1
火上,1
烤羊,1
客人,1
酒来,1
围坐在,1
喝酒,1
谈论着,1
老太太,1
救出,1
把门,1
打破,1
她俩,1
老头儿,1
喝点,1
再拿些,1
绊倒,1
掉,1
摔碎,1
洒,1
嚷,1
哄笑,1
烫,1
走出,1
下午,1
下着雨,1
漆黑,1
静静地,1
山说,1
出马,1
树林,1
潺潺,1
流水声,1
悦耳,1
河走,1
天下,1
雨来,1
马蹄声,1
大路,1
马匹,1
停,1
那双,1
回家吧,1
马上马,1
大道,1
行进,1
一路,1
屋门,1
热饮,1
吩咐,1
热,1
牛奶,1
一辈子,1
完,1
看书,1
抬起头来,1
有事,1
说好,1
友善,1
正聚,1
打算,1
桌前,1
说完,1
和蔼,1
先,1
夜里,1
尸体,1
上取,1
地下,1
大喊大叫,1
脸红,1
人有,1
差点儿,1
一言不发,1
作声,1
属实,1
停下来,1
开,1
正站,1
门前,1
没什么,1
丈夫,1
从来不,1
出生,1
得知,1
亲生,1
居民,1
从那以后,1
静悄悄,1
手,1
热辣辣,1
哭迪,1
几天,1
双眼,1
那一刻,1
真恨,1
许多年,1
新,1
转眼间,1
湛蓝,1
开着,1
花朵,1
走到,1
再到,1
真,1
去过,1
春,1
去夏,1
一连,1
几小时,1
马背上,1
疲惫,1
大而,1
喧闹,1
市镇,1
地区,1
一位,1
人物,1
里关,1
听取,1
证词,1
等候,1
一扇,1
往前走,1
法官大人,1
富有,1
地位,1
显赫,1
无情,1
我时,1
变红,1
挺贵,1
眼神,1
别忘了,1
拉倒,1
那全,1
用手,1
挡住,1
那张,1
拉出,1
吵嚷,1
声,1
止住,1
面带,1
倦容,1
红红的,1
一声不吭,1
带进,1
真想,1
长长的,1
拖,1
件,1
认出,1
我来,1
胖乎乎,1
缘故,1
听到,1
拉,1
变得,1
走路,1
一脸,1
病容,1
很生,1
气不过,1
黑黑的,1
人肯,1
领,1
嚷声,1
笑,1
结束,1
好孩子,1
押出,1
过得,1
盼望,1
仅此而已,1
跑掉,1
我错,1
幸福,1
很多年,1
忘记,1
我学,1
做饭,1
长时间,1
星期天,1
衣服,1
祈祷,1
夏天,1
漫步,1
愉快,1
对此,1
深信不疑,1
疲劳,1
实话,1
所说,1
扯谎,1
地待,1
帮,1
说谎,1
对抗,1
仇恨,1
在世,1
议论,1
流传,1
任何人,1
制作,1
养过,1
凝望,1
山顶,1
那片,1
孩提时代,1
挨饿受冻,1
丧生,1
陷入,1
苦难,1
重归,1
永远,1
摆脱,1
