单词,词频
懂得,1
不耐烦,1
打断,1
抬起,1
头,1
一双,1
冷漠,1
俩,1
名气,1
不小,1
孩子,1
拯救,1
电视机,1
老掉牙,1
故事,1
一百年,1
少废话,1
讲话,1
地方,1
饭店,1
正呆,1
电话铃,1
响,1
男,1
女,1
挂断,1
放下,1
听筒,1
座落在,1
高格家,1
高大,1
白色,1
建筑,1
走过,1
开门,1
信,1
旁边,1
绕,1
人扎,1
告诉您,1
监狱长,1
时分,1
正门,1
前有,1
守,1
下楼梯,1
床,1
睡,1
上凯,1
五分钟,1
悄悄,1
一班,1
十二点,1
一刻,1
来凯,1
被关,1
问凯,1
关,1
幼林,1
失火,1
冷笑,1
总,1
想着,1
想想,1
太,1
在意,1
今天下午,1
闭目,1
一会儿,1
有枪,1
多一些,1
不凯,1
挂,1
表好,1
走扎,1
双眼,1
晶莹,1
碧蓝,1
祝您,1
家里,1
好扎,1
楼上,1
早,1
别上来,1
透,1
寒光,1
这是,1
掏出,1
支枪,1
煞白,1
灰暗,1
充满,1
一时间,1
僵,1
扑,1
抢,1
朝高格,1
正好,1
倒,1
映衬,1
越发,1
红艳,1
不高格,1
大喊,1
三个,1
长枪,1
扶,1
高格凯,1
活不成,1
地倒,1
上午,1
一脸,1
红红的,1
谈些,1
低头,1
一言不发,1
地喊,1
爸爸,1
问是,1
提问,1
凝视着,1
重复,1
一遍,1
座楼,1
脸白,1
恼怒,1
栽,1
树木,1
敲打,1
桌面,1
死亡,1
没人能,1
阻拦,1
总有一天,1
面色,1
憔悴,1
不堪,1
住嘴,1
带回,1
小声,1
打着,1
事凯,1
捂着脸,1
哭,1
没能,1
凯在,1
别哭,1
轻轻,1
流露出,1
悲伤,1
三四个,1
问扎,1
还会出,1
人问,1
下午,1
把凯,1
小房间,1
分钟,1
后塞鲁,1
严肃,1
不出,1
所料,1
有洞,1
送进,1
我试,1
要点,1
问好,1
一点,1
喜悦,1
塞鲁边,1
难受,1
一边倒,1
杯,1
搭上去,1
我家,1
困难,1
昨天夜里,1
火,1
火势,1
正向,1
蔓延,1
越烧,1
越,1
猛,1
摧毁,1
干什么,1
打过,1
问到,1
你凯,1
布置,1
士兵,1
关注,1
进展,1
完,1
留给,1
做不了,1
这座,1
真的,1
害怕,1
蜷,1
睡着,1
凯和塞鲁,1
谈着,1
一趟,1
大部分,1
七八个,1
包括,1
塞鲁在,1
走来走去,1
听到,1
轰鸣,1
外面,1
大楼,1
闷热,1
夜晚,1
马路上,1
抓住,1
抱歉,1
架飞机,1
舱门,1
凯朝,1
能带,1
一共,1
答道,1
那架,1
机长,1
身材高大,1
棕色,1
不错,1
那位,1
著名,1
那人,1
一股,1
掠过,1
这火,1
烧,1
西部,1
说完,1
着凯,1
亲切,1
弟弟,1
小弟弟,1
住进,1
过凯,1
城南,1
飞机场,1
枪子儿,1
笼罩,1
黑暗,1
俯视,1
肆虐,1
烈焰,1
把手,1
搭在凯,1
臂膀,1
上扎,1
难过,1
悲切,1
低声,1
去塞鲁,1
讲讲,1
不成形,1
解决,1
忧伤,1
温和,1
笑了笑,1
家园,1
看吧,1
迷人,1
国家,1
楼房,1
第一座,1
城镇,1
第一个,1
家,1
愉快,1
玻璃窗,1
眼前,1
洁白,1
