单词,词频
走开,1
廷有,1
一处,1
阴影,1
情敌,1
分钟,1
独自一人,1
门前,1
推门而入,1
找遍,1
角落,1
人影,1
上午,1
一切都是,1
美好,1
下一场,1
手中,1
当今,1
难听,1
活象,1
有气无力,1
如何是好,1
同吉丽,1
谈一谈,1
帮不了,1
情况,1
脑袋,1
人大,1
面显,1
怒色,1
说吉丽,1
前任,1
深谙此道,1
试图,1
意想不到,1
很快,1
拥有,1
领会,1
试试,1
话吉丽,1
嗓子,1
末尾,1
露出,1
点到,1
放进,1
口袋,1
点过,1
不快,1
或点,1
杀人,1
奔,1
一下子,1
扑,1
怀里,1
一同,1
漫步,1
长时间,1
回忆起,1
时光,1
一两分钟,1
贫穷,1
廷不嘘,1
别作声,1
一年,1
逝世,1
悲伤,1
拼命,1
地唱,1
优秀,1
拜倒,1
转过,1
脸去,1
沉默不语,1
变白,1
低语,1
原因,1
极好,1
早晨,1
床上,1
喝咖啡,1
拆阅,1
晨信,1
短,1
意外,1
失声,1
永远,1
下床,1
吃,1
写来,1
懊悔,1
当天,1
点钟,1
笑谈,1
红,1
服,1
一言不发,1
梅洛,1
步入,1
地上,1
放着,1
感觉,1
心情愉快,1
说话声,1
两次,1
第三次,1
一丝,1
凉意,1
一首,1
优美,1
众人,1
陌生,1
杂音,1
鼓噪,1
交头接耳,1
哄笑,1
把头,1
试,1
身前,1
方向,1
将会,1
落下来,1
屋顶,1
惨白,1
上千,1
盏灯,1
脱离,1
束缚,1
坠落在,1
观众席,1
妇女,1
砸死,1
砸伤,1
关闭,1
两周,1
时间,1
天天,1
太高兴,1
愿,1
奇怪,1
找,1
问遍,1
开业,1
前两天,1
廷写,1
层来,1
层,1
数百条,1
垂向,1
长长地,1
下垂,1
坐在,1
角落里,1
握,1
疲惫,1
再也不能,1
小声点,1
邀,1
带走,1
往下走,1
挺大,1
湖水,1
凉,1
小船,1
渡过,1
湖去,1
住处,1
实实在在,1
漂亮,1
爱过,1
是因为,1
摘下,1
一把,1
抱住,1
最最,1
跑掉,1
红光,1
埋入,1
片刻,1
天,1
回荡,1
到时候,1
说演,1
那场,1
深色,1
长,1
外衣,1
一顶,1
不别,1
转身,1
拉,1
着手,1
演完,1
深情,1
接吻,1
初吻,1
早上,1
走到,1
早,1
餐桌,1
那头,1
所有人,1
起眼,1
喝,1
咖啡,1
两张,1
终于,1
厉害,1
由达,1
埃来,1
留在,1
放些,1
到来,1
令人满意,1
换,1
位置,1
欣赏,1
之间,1
爱情故事,1
饶有兴趣,1
地朝,1
张望,1
出身,1
于象,1
那首,1
片刻之间,1
走动,1
找到,1
乱,1
一团糟,1
跑来跑去,1
警察,1
发,1
脾气,1
冷静,1
领着,1
女儿,1
阿尔曼,1
失踪,1
说梅格,1
当灯,1
一声,1
乱跑,1
愤怒,1
走上,1
着急,1
地问,1
湖面,1
当灯亮,1
张,1
长脸,1
掳走,1
帮帮我,1
地进,1
那面,1
一扇门,1
忍不住,1
目瞪口呆,1
小心,1
右手,1
举,1
头像,1
聪明人,1
善于,1
走往,1
一层层,1
密门,1
有无,1
湖边,1
看守,1
绕过,1
那湖,1
人用,1
摸索,1
手下,1
小门,1
脚步,1
很轻地,1
等待,1
放到,1
走错,1
室,1
怎么回事,1
意识,1
灯亮了,1
笑声,1
全是,1
地板,1
天花板,1
树,1
眼前,1
热烘烘,1
越来越,1
仿佛,1
依旧,1
晃动,1
睁眼,1
累累,1
透过,1
墙里,1
室里,1
不许,1
说不出,1
发不出,1
发现自己,1
不杀,1
能活,1
温和,1
说好,1
一刻起,1
张开,1
双臂,1
搂住,1
缓慢,1
充满,1
爱意,1
地吻,1
嘴,1
放下,1
自愿地,1
每次,1
转开去,1
哭,1
他伏,1
祝你们,1
问这问那,1
出门,1
一座,1
进门,1
房门,1
窗口,1
窗外,1
活下去,1
三天,1
见到,1
正,1
问对,1
真名,1
出生,1
建筑师,1
一度,1
长久,1
跟随,1
监视,1
身在,1
地力,1
利用,1
巧妙,1
地下,1
通道,1
居所,1
外面,1
难过,1
怪异,1
半人,1
半鬼,1
终究,1
停吉丽,1
再见,1
坐上,1
北去,1
火车,1
平静,1
依然,1
寒冷,1
山里,1
